disasterNumber,state,declarationType,declarationDate,incidentBeginDate,incidentEndDate,fyDeclared,incidentType,declarationTitle,fipsStateCode,fipsCountyCode,date,county_FIP,topic,stance,gender,aggressiveness,temperature_avg,sentiment,id
5107,OR,FM,2015-08-21,2015-08-20,2015-09-06,2015,Fire,GRIZZLY BEAR FIRE COMPLEX,41,063,2015-08-25,063,Global stance,believer,male,not aggressive,2.86383395,0.03481104789972307,"636185451632705536,636229058309828608,636244537417990144,636296819241299968"
5107,OR,FM,2015-08-21,2015-08-20,2015-09-06,2015,Fire,GRIZZLY BEAR FIRE COMPLEX,41,063,2015-08-26,063,Global stance,believer,male,aggressive,1.91225096,0.30511740279793736,"636548897469370368,636572099117604864,636610837306707968,636643048508792832"
5107,OR,FM,2015-08-21,2015-08-20,2015-09-06,2015,Fire,GRIZZLY BEAR FIRE COMPLEX,41,063,2015-08-27,063,Global stance,believer,male,not aggressive,0.8980564399999998,-0.0022878198512395254,"636709795043614720,636935819069100032,636948826763436032,636967949799194624,636995080557977600"
5107,OR,FM,2015-08-21,2015-08-20,2015-09-06,2015,Fire,GRIZZLY BEAR FIRE COMPLEX,41,063,2015-08-28,063,Global stance,believer,male,aggressive,1.0662968,0.23795621495246883,"637080409331888128,637124623964897280,637242252377608192,637256448402169856"
5107,OR,FM,2015-08-21,2015-08-20,2015-09-06,2015,Fire,GRIZZLY BEAR FIRE COMPLEX,41,063,2015-08-29,063,Global stance,believer,female,not aggressive,-0.28554535,0.1944266524553299,"637688947208945664,637712854213349376,637755211612876800"
5107,OR,FM,2015-08-21,2015-08-20,2015-09-06,2015,Fire,GRIZZLY BEAR FIRE COMPLEX,41,063,2015-08-30,063,Politics,believer,male,aggressive,0.4633952,-0.0700159519910812,637989264802775040
5107,OR,FM,2015-08-21,2015-08-20,2015-09-06,2015,Fire,GRIZZLY BEAR FIRE COMPLEX,41,063,2015-08-31,063,Undefined / One Word Hashtags,believer,female,not aggressive,-0.042944810000000014,0.01895538252194725,"638379162751926272,638397208694386688,638397877841096704,638444549690552320,638491349440970752"
5107,OR,FM,2015-08-21,2015-08-20,2015-09-06,2015,Fire,GRIZZLY BEAR FIRE COMPLEX,41,063,2015-09-01,063,Global stance,believer,female,not aggressive,0.21433510000000008,0.11713804447650908,"638597259270074368,638710610587422720,638745249033142272,638770855254757376,638772053798055936,638773841389580288,638794168983228416"
5107,OR,FM,2015-08-21,2015-08-20,2015-09-06,2015,Fire,GRIZZLY BEAR FIRE COMPLEX,41,063,2015-09-02,063,Global stance,believer,female,not aggressive,2.09629908,0.04312597906430567,"638918040206340096,639092208386355200,639106078362476544,639107145191940096,639164173583286272"
5107,OR,FM,2015-08-21,2015-08-20,2015-09-06,2015,Fire,GRIZZLY BEAR FIRE COMPLEX,41,063,2015-09-03,063,Global stance,neutral,male,not aggressive,1.4135103375,0.17593840798410498,"639238912905351168,639246582311985152,639247751109324800,639457398361468928,639463801700544512,639483328140288000,639510281123708928,639546718195847168"
5107,OR,FM,2015-08-21,2015-08-20,2015-09-06,2015,Fire,GRIZZLY BEAR FIRE COMPLEX,41,063,2015-09-04,063,Importance of Human Intervantion,believer,female,not aggressive,1.1784229800000001,0.11154895343303677,"639763514156933120,639811925400903680,639832395387154432,639832395714330624,639909312421339136"
